"ticker","implied_excess","implied_total"
"ETIHX",-0.00257973836519255,-0.00227973836519255
"VHCIX",0.00238839780087516,0.00268839780087516
"CHGCY",-0.00229016588903591,-0.00199016588903591
"TAK",-0.00736862171218214,-0.00706862171218214
"D",-0.00685909188749888,-0.00655909188749888
"EIX",-0.00706249593340906,-0.00676249593340906
"AES",-0.0138762128595315,-0.0135762128595315
"NRG",0.0256105523494594,0.0259105523494594
"AMD",0.0105097440586225,0.0108097440586225
"AVGO",0.032952424702183,0.033252424702183
"TXN",-0.006244163280213,-0.005944163280213
"CRM",-0.00192114305636717,-0.00162114305636717
"CRWD",0.0246272628531808,0.0249272628531808
"ORCL",0.0228192011483842,0.0231192011483842
"FTNT",0.0254096430890433,0.0257096430890433
"IBM",0.0193003061866439,0.0196003061866439
"CSCO",0.0109791739977815,0.0112791739977815
"AKAM",-0.00561252173448819,-0.00531252173448819
"SMCI",0.0474015286022985,0.0477015286022985
"APO",0.0140322918140414,0.0143322918140414
"CME",0.00971149227135145,0.0100114922713514
"CBOE",0.0139838789077992,0.0142838789077992
"V",0.00476968238890121,0.00506968238890121
"PYPL",-0.029308379871976,-0.029008379871976
"FI",-0.016299859233483,-0.015999859233483
"VRSK",-9.50536599873526e-05,0.000204946340012647
"ROST",0.00403196568617161,0.00433196568617161
"ULTA",0.00644390778304208,0.00674390778304208
"AZO",0.0142416670866384,0.0145416670866384
"CMG",-0.00492862376704894,-0.00462862376704894
"NKE",-0.0173314874340416,-0.0170314874340416
"CROX",-0.00618238063681566,-0.00588238063681566
"LVS",-0.00335729383288231,-0.00305729383288231
"TSLA",0.00736094108282687,0.00766094108282687
"GM",0.00311710073027955,0.00341710073027955
"LYV",0.00796437980167532,0.00826437980167532
