"ticker","exp_return","sigma"
"ETIHX",-0.00231284536278065,0.0670543261513502
"VHCIX",0.0026780432713325,0.0412199064100901
"CHGCY",-0.00199127590256311,0.0928348358757795
"TAK",-0.00703164356822946,0.0555299766401097
"D",-0.00650564072064049,0.0641101929195416
"EIX",-0.00675309759696281,0.0867392104929723
"AES",-0.0136139646260974,0.118350930539462
"NRG",0.0257294805024815,0.11401520828127
"AMD",0.0103290660297842,0.156942704730929
"AVGO",0.0329863726549993,0.102401333836835
"TXN",-0.00604835775663832,0.0763481004945468
"CRM",-0.00172911660966596,0.0969416444193329
"CRWD",0.0247495375204523,0.150959925718967
"ORCL",0.0228165982369874,0.10557938516925
"FTNT",0.0255404663626785,0.109917138394644
"IBM",0.0194789372593789,0.0727885733868918
"CSCO",0.0112020316663961,0.0653364688592947
"AKAM",-0.0052656703242118,0.0802197795289183
"SMCI",0.0450176522748578,0.223527628342935
"APO",0.0141595115733841,0.104107055408909
"CME",0.0100444444527239,0.049858892566642
"CBOE",0.0143176717523754,0.0454325215165147
"V",0.00502996026353015,0.0593603174398526
"PYPL",-0.0289785997409737,0.118777583744401
"FI",-0.0160683929669093,0.119084466198091
"VRSK",0.000120600426569805,0.0751533952382915
"ROST",0.00423066401518332,0.0810035831856112
"ULTA",0.00672023318727961,0.0905595156429031
"AZO",0.0145238654762768,0.0638399648887336
"CMG",-0.00469841717151529,0.0968731061600619
"NKE",-0.0170749072413024,0.0968645716408458
"CROX",-0.00615475430680681,0.136107305585488
"LVS",-0.00308437271794292,0.111824865218782
"TSLA",0.00758710941118824,0.175636439321375
"GM",0.0032597613826876,0.100587291699609
"LYV",0.00816305586804726,0.0984741023883176
