"method","exp_return","sigma"
"Sample",0.0408224397243639,0.030992202765038
"ConstantCorr",0.0753028810320386,0.0817039944356071
"SIM",0.0648876146355169,0.0684965635231341
"Shrinkage",0.0411043780473611,0.0454339435349441
