"target_return","realized_return","variance","sigma"
-0.0207403710731764,-0.0207403710731764,0.00161930909252355,0.040240639812552
-0.0196713177338443,-0.0196713177338443,0.00154682740006235,0.0393297266715948
-0.0186022643945122,-0.0186022643945122,0.00147650317734701,0.0384252934581769
-0.0175332110551801,-0.0175332110551801,0.00140833642437749,0.0375278086807303
-0.016464157715848,-0.016464157715848,0.00134232714115382,0.0366377829726884
-0.0153951043765159,-0.015395104376516,0.00127847532767598,0.0357557733474746
-0.0143260510371839,-0.0143260510371839,0.00121678098394398,0.0348823878761758
-0.0132569976978518,-0.0132569976978518,0.00115724410995781,0.0340182908147634
-0.0121879443585197,-0.0121879443585197,0.00109986470571749,0.0331642082027822
-0.0111188910191876,-0.0111188910191876,0.001044642771223,0.0323209339472577
-0.0100498376798555,-0.0100498376798555,0.000991578306474346,0.031489336393045
-0.00898078434052339,-0.00898078434052338,0.000940671311471528,0.0306703653625373
-0.0079117310011913,-0.00791173100119131,0.000891921786214552,0.0298650596218148
-0.0068426776618592,-0.00684267766185921,0.000845329730703409,0.0290745546948429
-0.00577362432252711,-0.00577362432252712,0.000800895144938106,0.0283000908998206
-0.00470457098319502,-0.00470457098319502,0.000758618028918639,0.0275430214195654
-0.00363551764386293,-0.00363551764386293,0.00071849838264501,0.0268048201382701
-0.00256646430453083,-0.00256646430453085,0.000680536206117218,0.0260870888777805
-0.00149741096519874,-0.00149741096519874,0.000644731499335263,0.0253915635464865
-0.000428357625866647,-0.000428357625866645,0.000611084262299146,0.0247201185737275
0.000640695713465443,0.000640695713465433,0.000579594495008865,0.0240747688464264
0.00170974905279754,0.00170974905279754,0.000550262197464423,0.023457668201772
0.00277880239212963,0.00277880239212962,0.000523087369665815,0.0228711033766588
0.00384785573146172,0.00384785573146171,0.000498070011613047,0.0223174821969918
0.00491690907079382,0.00491690907079382,0.000475210123306115,0.0217993147439573
0.00598596241012591,0.00598596241012589,0.000454507704745019,0.0213191863058846
0.007055015749458,0.007055015749458,0.000435962755929763,0.0208797211650387
0.0081240690887901,0.00812406908879009,0.000419575276860343,0.0204835367273414
0.00919312242812219,0.00919312242812219,0.000405345267536761,0.0201331882109308
0.0102621757674543,0.0102621757674543,0.000393272727959013,0.0198311050614688
0.0113312291067864,0.0113312291067864,0.000383357658127106,0.0195795213967836
0.0124002824461185,0.0124002824461185,0.000375600058041034,0.0193804039700166
0.0134693357854506,0.0134693357854505,0.000369999927700801,0.0192353821823431
0.0145383891247826,0.0145383891247826,0.000366557267106404,0.0191456853391673
0.0156074424641147,0.0156074424641147,0.000365272076257844,0.0191120924092012
0.0166764958034468,0.0166764958034468,0.000366144355155122,0.0191348988801907
0.0177455491427789,0.0177455491427789,0.000369174103798236,0.0192139039187313
0.018814602482111,0.018814602482111,0.000374361322187188,0.0193484191133846
0.0198836558214431,0.0198836558214431,0.000381706010321978,0.0195372979278604
0.0209527091607752,0.0209527091607752,0.000391208168202604,0.0197789829921208
0.0220217625001073,0.0220217625001073,0.000402867795829067,0.0200715668503749
0.0230908158394394,0.0230908158394394,0.000416684893201368,0.0204128609754088
0.0241598691787715,0.0241598691787715,0.000432659460319506,0.0208004677908817
0.0252289225181036,0.0252289225181036,0.000450791497183481,0.0212318510070008
0.0262979758574357,0.0262979758574357,0.000471081003793293,0.021704400562865
0.0273670291967678,0.0273670291967678,0.000493527980148943,0.0222154896445913
0.0284360825360999,0.0284360825360998,0.00051813242625043,0.0227625224052702
0.029505135875432,0.0295051358754319,0.000544894342097754,0.0233429720065324
0.030574189214764,0.030574189214764,0.000573813727690916,0.0239544093580058
0.0316432425540961,0.0316432425540961,0.000604890583029914,0.0245945234357146
0.0327122958934282,0.0327122958934282,0.000638124908114749,0.0252611343394304
0.0337813492327603,0.0337813492327603,0.000673516702945422,0.0259522003488225
0.0348504025720924,0.0348504025720924,0.000711065967521932,0.0266658202109354
0.0359194559114245,0.0359194559114245,0.00075077270184428,0.0274002317844992
0.0369885092507566,0.0369885092507566,0.000792636905912464,0.0281538080179656
0.0380575625900887,0.0380575625900887,0.000836658579726485,0.0289250510756072
0.0391266159294208,0.0391266159294208,0.000882837723286345,0.0297125852676327
0.0401956692687529,0.0401956692687529,0.00093117433659204,0.0305151492965714
0.041264722608085,0.041264722608085,0.000981668419643572,0.0313315882081259
0.0423337759474171,0.042333775947417,0.00103431997244094,0.0321608453315665
